#Transcript position	Transcript coverage profile
0.0	0.22976948762422297
1.0	0.0045358266763495525
2.0	0.013364673701709894
3.0	0.020372895108360288
4.0	0.033405638159751366
5.0	0.013117885213581513
6.0	0.024699739971099165
7.0	0.016642463848329975
8.0	0.01253613441799578
9.0	0.015302068600935886
10.0	0.023595602032233202
11.0	0.03527798269799443
12.0	0.021078599482288445
13.0	0.02521401805731283
14.0	0.026274463195813474
15.0	0.021206538340040326
16.0	0.028864165899875876
17.0	0.026370645007808915
18.0	0.039122095952080674
19.0	0.028840870315480785
20.0	0.03090154121757821
21.0	0.004968278584519949
22.0	0.007374608109451956
23.0	0.020354774804691993
24.0	0.036263613005443604
25.0	0.01709549149206058
26.0	0.013289272931250842
27.0	0.02108534857222793
28.0	0.031066585096172668
29.0	0.006995746675936526
30.0	0.010634915463690504
31.0	0.017025203550539568
32.0	0.0344574921540717
33.0	0.022831076951736112
34.0	0.013410174062271232
35.0	0.008656534909513177
36.0	0.02532381164583006
37.0	0.0373985790287975
38.0	0.013293382107230335
39.0	0.007699938712330859
40.0	0.01401200415795647
41.0	0.03392553049268523
42.0	0.02369718378053895
43.0	0.007239776706695362
44.0	0.022269938673597243
45.0	0.010096888859643318
46.0	0.033516565332545295
47.0	0.008880960242116775
48.0	0.008207699913592822
49.0	0.014163654533125503
50.0	0.03344322161242556
51.0	0.03494065313529546
52.0	9.463722397476341E-4
53.0	0.022089994189695764
54.0	0.020758989948438923
55.0	0.00848671283752641
56.0	0.014160461253648208
57.0	0.006633558946426903
58.0	0.02832317227791691
59.0	0.024497071241744182
60.0	0.024668073862071205
61.0	0.022204649410944473
62.0	0.018835937901554876
63.0	0.034004094659879455
64.0	0.029952099546657417
65.0	0.018486334290689188
66.0	0.03640115013249278
67.0	0.021199132258781006
68.0	0.014117194050909226
69.0	0.029531971146635312
70.0	0.016926754197685846
71.0	0.016665767673186765
72.0	0.02356972554593451
73.0	0.00829986216401035
74.0	0.015854091904183243
75.0	0.011896716096824689
76.0	0.01658403138389019
77.0	0.0060058463766380805
78.0	0.014763543207765843
79.0	0.027971027491559646
80.0	0.03235788381330839
81.0	0.01647735758108956
82.0	0.002302631578947368
83.0	0.007980496542116524
84.0	0.007131772887605048
85.0	0.015415066592886294
86.0	0.014604316480477893
87.0	0.017922285242892147
88.0	0.03471014847004205
89.0	0.018377726093394713
90.0	0.014789059736904966
91.0	0.01626781102239687
92.0	0.027486352020686288
93.0	0.012293411578881745
94.0	0.03160590353175018
95.0	0.047432024497625735
96.0	0.05181998770995545
97.0	0.052700934576696404
98.0	0.043107578309703846
99.0	0.0469286470417704
