Geneid,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1,LNCAP_Hypoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S1,LNCAP_Normoxia_S2,LNCAP_Hypoxia_S1
ENSG00000159433,65,180,187,423,55,168,219,372
ENSG00000159445,57,252,2639,2406,121,196,2902,1839
ENSG00000159450,0,1,50,47,1,1,67,40
ENSG00000159455,0,0,0,0,0,0,0,0
ENSG00000159459,229,838,2367,2562,279,724,2524,2208
ENSG00000159461,692,1836,1579,2336,710,1950,2011,2089
ENSG00000159479,89,298,887,926,95,253,1113,1105
ENSG00000159495,0,0,0,0,0,0,0,0
ENSG00000159496,0,12,2,11,4,5,2,0
ENSG00000159516,0,0,0,0,0,0,0,0
ENSG00000159527,0,0,0,0,0,0,0,0
ENSG00000159556,3,32,40,38,11,11,43,73
ENSG00000159579,413,1399,2416,3415,485,1268,2863,3036
ENSG00000159588,15,21,36,39,5,13,46,51
ENSG00000159592,429,1066,5486,7313,396,1247,6435,7114
ENSG00000159593,900,2706,6741,7273,955,2869,7181,6764
ENSG00000159596,324,1028,2520,2317,350,799,2770,2184
ENSG00000159618,0,1,1,0,0,2,1,0
ENSG00000159625,0,2,20,67,0,0,52,89
ENSG00000159640,7,63,0,0,24,32,6,1
ENSG00000159648,0,0,3,0,0,0,0,0
ENSG00000159650,0,0,6,4,0,0,6,1
ENSG00000159658,1797,5261,6572,8082,1855,5082,7343,7782
ENSG00000159674,1,10,24678,24437,4,2,40374,19390
ENSG00000159685,33,128,207,287,47,96,293,290
ENSG00000159692,110,366,2744,2987,155,312,3810,2884
ENSG00000159708,0,1,55,39,1,0,73,42
ENSG00000159712,0,1,0,0,0,0,0,0
ENSG00000159713,0,6,0,3,0,3,0,1
ENSG00000159714,15,74,26,14,30,46,29,32
ENSG00000159720,253,813,2015,3231,318,738,2883,2709
ENSG00000159723,0,3,1,1,1,0,0,0
ENSG00000159733,20,80,184,362,30,58,261,289
ENSG00000159753,16,33,58,122,12,42,218,94
ENSG00000159761,0,0,17,34,4,1,26,22
ENSG00000159763,0,1,22,29,0,0,51,18
ENSG00000159784,28,126,9,7,43,108,56,4
ENSG00000159788,54,153,690,937,73,162,758,805
ENSG00000159792,138,500,1000,1416,175,320,1492,1226
ENSG00000159840,361,1022,1250,1616,362,1101,2140,1600
ENSG00000159842,390,924,2813,2915,337,1045,4001,2466
ENSG00000159860,0,0,0,1,0,0,0,0
ENSG00000159871,4,12,6,5,4,11,7,3
ENSG00000159873,1079,2712,5515,5229,937,3360,5771,4476
ENSG00000159882,23,82,136,206,33,83,150,142
ENSG00000159884,12,23,12,7,16,26,21,623
ENSG00000159885,10,40,87,82,15,39,97,75
ENSG00000159899,16,27,30,34,8,38,36,22
ENSG00000159904,0,0,0,0,0,0,2,1
ENSG00000159905,13,47,104,142,9,24,88,125
ENSG00000159915,4,28,267,183,15,25,254,198
ENSG00000159917,20,82,134,155,21,64,141,86
ENSG00000159921,441,1471,17,12,479,1561,9,10
ENSG00000159958,4,16,18,21,6,9,17,25
ENSG00000159961,0,0,1,0,0,1,0,0
ENSG00000160007,774,2418,3890,5265,927,2796,4686,4670
ENSG00000160013,0,0,0,0,0,0,0,0
ENSG00000160014,1626,4861,11792,13998,1819,4288,16657,14715
ENSG00000160049,530,2549,5216,4701,923,1636,5673,4127
ENSG00000160050,24,82,201,216,25,46,385,127
ENSG00000160051,8,37,239,273,21,17,301,373
ENSG00000160055,56,189,247,318,55,168,339,381
ENSG00000160058,427,1360,2438,2957,518,1176,3616,2591
ENSG00000160062,29,105,287,297,30,76,290,289
ENSG00000160072,100,397,1050,1089,152,268,1295,1006
ENSG00000160075,676,2296,4696,4833,921,1863,5452,4200
ENSG00000160087,283,980,1394,1647,392,875,1771,1276
ENSG00000160094,88,308,1543,2245,130,224,2057,2040
ENSG00000160097,22,121,13,13,30,82,24,4
ENSG00000160111,15,49,27,60,17,22,26,61
ENSG00000160113,295,940,746,1098,351,815,1259,871
ENSG00000160117,35,137,33,36,49,120,33,34
ENSG00000160124,593,1681,2901,4125,607,1908,3275,3621
ENSG00000160131,726,2229,2340,2159,844,2086,2795,1885
ENSG00000160145,49,143,104,295,60,138,155,256
ENSG00000160161,6,23,24,10,13,18,26,17
ENSG00000160172,0,0,0,0,0,0,0,0
ENSG00000160179,21,60,447,1573,19,61,617,1699
ENSG00000160180,0,0,20,21,0,0,86,35
ENSG00000160181,0,0,0,0,0,0,0,0
ENSG00000160182,1,2,8,37,1,6,35,23
ENSG00000160183,0,0,0,1,0,0,2,3
ENSG00000160185,0,0,0,0,0,1,0,0
ENSG00000160188,2,4,421,245,1,2,532,275
ENSG00000160190,20,181,1203,1480,50,61,1593,1262
ENSG00000160191,31,66,2387,4635,15,76,2886,3958
ENSG00000160193,17,106,321,269,47,49,360,176
ENSG00000160194,192,1041,3156,2940,358,599,3920,2504
ENSG00000160199,185,473,884,926,186,393,1186,721
ENSG00000160200,0,7,1026,1329,1,7,1332,1036
ENSG00000160201,2,15,61,79,2,2,61,66
ENSG00000160202,0,0,0,0,0,0,0,0
ENSG00000160207,9,39,89,139,15,38,95,116
ENSG00000160208,475,1885,1706,2281,671,1452,1790,2398
ENSG00000160209,577,1309,2779,2783,510,1681,3773,2371
ENSG00000160211,177,456,1665,2143,160,507,2397,1792
ENSG00000160213,2706,5540,8141,6915,2123,7058,9602,5871
ENSG00000160214,26,97,1071,1430,48,65,1825,1183
ENSG00000160216,607,2396,6317,5674,910,1779,8624,5035
ENSG00000160218,352,1061,1052,1430,409,1090,1231,1374
ENSG00000160219,30,86,12,27,13,69,9,15
ENSG00000160221,1,2,114,120,0,2,200,72
ENSG00000160223,10,10,3,0,4,29,6,6
ENSG00000160224,0,0,0,1,2,0,0,1
ENSG00000160226,8,22,142,494,6,30,217,184
ENSG00000160229,0,0,359,548,0,0,392,399
ENSG00000160233,32,104,421,619,39,81,552,615
ENSG00000160255,50,94,31,64,49,106,38,59
ENSG00000160256,15,110,420,452,50,80,622,346
ENSG00000160271,52,108,771,1044,35,110,853,897
ENSG00000160282,1,3,33,45,2,5,65,46
ENSG00000160284,30,119,222,426,51,98,439,369
ENSG00000160285,242,784,1389,2038,315,683,2040,2217
ENSG00000160293,157,463,2659,2657,192,417,3071,2450
ENSG00000160294,69,291,1398,1945,79,165,1665,2683
ENSG00000160298,67,237,618,799,130,165,768,664
ENSG00000160299,109,361,2394,3739,134,372,2696,3219
ENSG00000160305,103,318,3011,2853,102,291,3345,2631
ENSG00000160307,0,0,0,0,0,0,0,0
ENSG00000160310,203,566,1558,2163,166,586,2018,1795
ENSG00000160318,5,5,8,13,5,9,14,31
ENSG00000160321,0,0,686,1033,0,0,633,856
ENSG00000160323,4,15,296,409,4,9,373,365
ENSG00000160325,34,150,340,479,51,86,577,380
ENSG00000160326,69,260,144,244,101,183,238,207
ENSG00000160336,194,675,2211,2479,237,536,2500,2226
ENSG00000160339,0,0,3,8,0,0,8,8
ENSG00000160345,15,81,608,690,23,48,693,569
ENSG00000160349,0,0,0,0,0,0,0,0
ENSG00000160352,144,542,2402,2526,200,455,2427,2083
ENSG00000160360,26,129,771,1305,73,68,1319,1190
ENSG00000160392,48,197,399,693,70,124,537,606
ENSG00000160396,0,1,0,0,0,0,2,1
ENSG00000160401,12,45,71,102,24,12,90,40
ENSG00000160404,53,158,234,393,70,166,435,381
ENSG00000160408,3,7,0,1,4,8,3,8
ENSG00000160410,157,458,531,947,187,381,813,1271
ENSG00000160439,27,130,318,304,58,69,456,258
ENSG00000160445,273,633,1610,2300,278,764,2336,2049
ENSG00000160446,218,745,879,857,309,566,1566,911
ENSG00000160447,38,164,66,65,87,77,54,37
ENSG00000160460,0,2,67,70,0,1,71,110
ENSG00000160469,29,59,16,97,29,62,46,80
ENSG00000160471,3,8,10,2,3,7,4,3
ENSG00000160472,0,6,11,16,4,1,12,0
ENSG00000160505,0,0,21,13,0,0,28,19
ENSG00000160539,0,1,8,5,1,0,12,0
ENSG00000160551,444,1259,5042,7338,460,1611,4783,6194
ENSG00000160563,174,616,477,596,206,601,699,513
ENSG00000160570,198,676,225,298,242,485,368,252
ENSG00000160584,404,682,647,1392,246,1181,814,1187
ENSG00000160588,70,244,1197,1315,103,264,1419,1259
ENSG00000160593,0,0,5,1,0,1,5,2
ENSG00000160602,2,21,229,196,14,16,358,208
ENSG00000160606,54,157,727,531,72,105,1198,427
ENSG00000160613,43,280,704,1034,111,141,920,1527
ENSG00000160633,90,322,6742,8885,128,331,8251,8067
ENSG00000160654,0,0,2,0,0,0,0,0
ENSG00000160678,3,11,31,44,7,5,62,5
ENSG00000160679,532,1789,2773,4004,626,1576,3652,4608
ENSG00000160683,0,0,0,2,0,0,2,0
ENSG00000160685,125,517,5163,6580,211,385,6600,5635
ENSG00000160688,158,850,870,1132,300,380,1528,1037
ENSG00000160691,886,3472,2845,3257,1309,2176,3454,3045
ENSG00000160695,248,1134,1264,1160,408,655,1642,997
ENSG00000160703,49,214,759,743,68,92,1273,661
ENSG00000160710,2271,8651,11736,12413,3319,6237,13704,10525
ENSG00000160712,155,472,2417,3973,172,410,2664,3339
ENSG00000160714,400,1593,3825,5319,555,1247,4817,5304
ENSG00000160716,3,31,7,1,9,13,7,1
ENSG00000160741,462,1329,1513,2616,435,1304,2200,2425
ENSG00000160746,525,1375,1546,1770,519,1499,1792,1584
ENSG00000160752,433,1274,1233,1175,491,1057,1639,2405
ENSG00000160753,245,559,753,734,219,525,1266,625
ENSG00000160766,0,0,0,0,0,0,0,0
ENSG00000160767,352,849,910,1219,343,980,1353,1225
ENSG00000160781,13,35,492,953,14,18,627,989
ENSG00000160783,108,467,242,329,196,326,433,302
ENSG00000160785,98,453,2238,3755,154,352,3426,3361
ENSG00000160789,821,2219,2388,3298,929,2172,3322,2781
ENSG00000160791,0,0,0,0,0,0,1,0
ENSG00000160796,201,690,2874,4316,258,548,3493,3839
ENSG00000160799,39,172,943,1041,49,107,1565,965
ENSG00000160801,4,13,30,31,7,5,30,53
ENSG00000160803,218,886,3525,3637,354,614,4249,3092
ENSG00000160808,0,4,2,2,1,1,0,0
ENSG00000160813,3,17,23,36,8,18,42,509
ENSG00000160818,0,0,10,3,0,0,8,4187
ENSG00000160838,18,23,5,5,8,38,2,0
ENSG00000160856,1,0,5,0,0,0,4,0
ENSG00000160862,0,0,4575,7781,1,0,5128,6231
ENSG00000160867,70,188,119,118,75,183,194,142
ENSG00000160868,0,1,1,4,0,2,9,4
ENSG00000160870,1,4,4,3,2,0,1,0
ENSG00000160877,1327,5481,3984,5170,2217,3640,5766,5802
ENSG00000160882,0,0,0,1,0,0,0,0
ENSG00000160883,0,0,1,1,0,1,1,1
ENSG00000160886,1,17,1,0,7,12,0,0
ENSG00000160888,149,278,295,273,137,397,438,642
ENSG00000160908,186,573,615,717,208,481,729,534
ENSG00000160917,76,242,762,1014,113,150,944,1053
ENSG00000160932,719,2118,1179,1346,852,1650,2159,1228
ENSG00000160948,352,978,1103,1469,380,834,1605,1339
ENSG00000160949,287,1304,995,1253,544,716,1280,1112
ENSG00000160951,1,0,1,0,0,0,2,0
ENSG00000160953,100,335,1328,1474,134,306,1652,1472
ENSG00000160957,454,1708,662,1179,674,1163,841,1011
ENSG00000160959,317,1154,514,657,467,784,762,578
ENSG00000160961,45,214,451,335,69,86,503,296
ENSG00000160963,7,20,164,224,9,13,263,184
ENSG00000160972,211,472,636,1526,192,541,958,1929
ENSG00000160973,1,5,7,21,1,1,23,36
ENSG00000160991,127,548,326,581,225,335,650,528
ENSG00000160993,7,24,203,252,13,29,342,274
ENSG00000160994,0,0,0,0,0,0,0,0
ENSG00000160999,48,122,88,141,47,110,142,142
ENSG00000161010,61,224,874,1385,103,183,1214,1455
ENSG00000161011,1056,3265,2792,2238,1362,2936,4416,4662
ENSG00000161013,333,877,1902,2722,353,917,2681,2356
ENSG00000161016,5701,17925,23278,22599,7059,15056,46046,20402
ENSG00000161021,319,622,2156,2872,236,780,2666,2449
ENSG00000161031,0,0,8,263,0,0,10,200
ENSG00000161036,125,637,438,494,263,332,609,351
ENSG00000161040,15,33,31,34,24,37,52,31
ENSG00000161048,303,1099,1001,992,414,966,1028,688
ENSG00000161055,0,0,0,0,0,0,0,0
ENSG00000161057,995,3322,6613,7091,1224,3204,7165,5485
ENSG00000161082,9,12,7,26,6,3,14,26
ENSG00000161091,99,291,1483,1424,115,320,2156,1345
ENSG00000161103,0,0,0,0,0,0,0,0
ENSG00000161132,2,2,8,2,0,3,6,0
ENSG00000161133,0,0,0,0,0,0,0,0
ENSG00000161179,76,326,609,626,127,197,905,456
ENSG00000161180,0,6,28,26,0,0,30,17
ENSG00000161202,623,1877,4302,6376,694,1726,5617,5809
ENSG00000161203,2933,6928,6751,8182,2694,8645,10247,7027
ENSG00000161204,364,1213,2194,2606,463,1024,3180,2152
ENSG00000161217,289,1010,2148,2930,367,916,2592,2640
ENSG00000161243,43,104,1,0,42,76,0,0
ENSG00000161249,249,1089,7,17,406,766,2,9
ENSG00000161265,14,58,174,268,19,31,267,235
ENSG00000161267,46,317,2314,1841,103,123,2855,1578
ENSG00000161270,0,1,3,10,0,1,3,1
ENSG00000161277,3,39,164,353,11,22,301,259
ENSG00000161281,1,2,2,2,0,2,4,0
ENSG00000161298,0,3,868,732,0,3,974,716
ENSG00000161328,11,53,188,347,17,37,243,341
ENSG00000161381,5,17,77,122,1,6,57,132
ENSG00000161395,11,37,230,247,17,21,362,217
ENSG00000161405,16,176,378,364,62,61,402,317
ENSG00000161509,119,362,29,60,154,360,51,68
ENSG00000161513,23,122,590,357,48,57,904,320
ENSG00000161526,135,422,2140,2444,152,373,2802,2322
ENSG00000161533,794,2599,2414,2199,1115,2381,3070,1833
ENSG00000161542,229,809,1073,1248,298,639,1466,1109
ENSG00000161544,30,115,7,4,36,92,9,5
ENSG00000161547,954,3094,4733,4383,1137,2689,5679,5407
ENSG00000161551,52,201,799,1575,67,169,833,1424
ENSG00000161558,39,168,270,452,69,104,421,431
ENSG00000161594,1,5,28,9,2,2,21,2
ENSG00000161609,0,0,27,20,0,0,30,29
ENSG00000161610,0,0,0,0,0,0,0,0
ENSG00000161618,0,2,263,272,0,0,413,216
ENSG00000161634,0,0,0,0,1,0,0,0
ENSG00000161638,2047,1770,558,1530,697,4863,863,1608
ENSG00000161640,0,0,0,0,1,0,0,0
ENSG00000161642,143,360,993,1812,134,438,1591,1760
ENSG00000161643,3,13,5,8,3,12,8,0
ENSG00000161647,159,406,504,368,153,474,721,301
ENSG00000161649,0,0,0,0,0,0,0,0
ENSG00000161652,0,0,0,0,1,0,0,0
ENSG00000161653,45,149,16,29,45,137,19,15
ENSG00000161654,261,627,1248,1635,229,644,1460,1500
ENSG00000161664,3,24,42,56,5,10,51,1
ENSG00000161671,363,1432,3472,3520,549,985,5282,3789
ENSG00000161677,66,242,148,163,110,135,331,145
ENSG00000161681,14,29,6,18,16,35,10,30
ENSG00000161682,69,227,34,66,108,186,89,82
ENSG00000161692,179,771,528,746,307,619,631,691
ENSG00000161714,22,85,138,237,30,54,310,241
ENSG00000161791,572,1580,196,244,612,1696,282,120
ENSG00000161798,0,0,3,0,0,0,2,4
ENSG00000161800,887,2856,3662,3883,1048,2639,3774,3417
ENSG00000161807,0,0,0,0,0,0,0,0
ENSG00000161813,374,1564,6361,6326,494,1216,6180,5162
ENSG00000161835,2,1,37,42,2,0,50,37
ENSG00000161847,108,308,403,597,119,305,490,520
ENSG00000161849,10,1,0,0,0,20,0,0
ENSG00000161850,1,1,0,0,0,2,0,0
ENSG00000161860,24,65,171,154,21,29,209,154
ENSG00000161888,87,381,1365,1205,140,265,1706,1099
ENSG00000161896,0,0,16,14,0,0,18,18
ENSG00000161904,358,1170,1426,2110,475,1033,1951,1826
ENSG00000161905,4,1,4275,4000,0,5,5545,3517
ENSG00000161911,0,0,0,0,2,2,0,0
ENSG00000161912,3,8,4,4,4,9,10,3
ENSG00000161914,25,58,240,456,18,72,399,430
ENSG00000161920,41,129,492,572,59,94,566,661
ENSG00000161921,51,194,1602,1610,58,121,2239,1426
ENSG00000161929,1,3,0,0,2,0,0,0
ENSG00000161939,0,0,0,1,0,0,0,0
ENSG00000161940,0,6,7,1,1,0,2,5
ENSG00000161944,0,2,0,2,0,0,0,0
ENSG00000161955,15,43,861,1036,17,27,1494,901
ENSG00000161956,117,456,486,576,166,300,668,451
ENSG00000161958,5,13,8,14,3,21,10,14
ENSG00000161960,49,193,208,261,65,163,217,234
ENSG00000161970,4141,12667,84604,74526,4085,13308,96152,66408
ENSG00000161973,0,0,0,0,0,0,0,0
ENSG00000161980,118,502,724,751,180,315,1107,602
ENSG00000161981,46,195,838,663,75,159,1299,579
ENSG00000161992,0,0,0,4,0,0,0,4
ENSG00000161996,88,244,983,1682,91,215,1242,1582
ENSG00000161999,56,150,1116,1757,67,148,1618,2962
ENSG00000162004,10,41,760,829,17,32,1304,701
ENSG00000162006,0,1,1,2,0,0,0,1
ENSG00000162009,0,4,192,215,7,0,234,111
ENSG00000162032,1,2,42,47,3,1,68,331
ENSG00000162039,0,6,2,11,0,6,0,0
ENSG00000162040,0,1,2,2,0,0,0,1
ENSG00000162062,42,199,222,202,78,89,313,167
ENSG00000162063,202,819,1176,1203,303,666,1334,1339
ENSG00000162065,141,455,1243,1431,157,366,1634,1369
ENSG00000162066,10,74,158,291,35,33,254,216
ENSG00000162068,0,4,9,21,7,3,18,1
ENSG00000162069,0,4,723,1281,0,2,1100,1509
ENSG00000162073,42,114,337,383,40,120,432,1223
ENSG00000162076,65,352,767,816,151,168,1339,665
ENSG00000162078,11,62,2013,1623,17,42,2896,1296
ENSG00000162086,128,363,2540,2386,124,390,2649,1889
ENSG00000162104,57,169,1076,1472,63,147,1283,1201
ENSG00000162105,27,122,1108,960,34,131,1287,899
ENSG00000162129,502,1648,1832,1875,622,1555,2192,1746
ENSG00000162139,93,664,1257,1254,274,280,1560,1002
ENSG00000162144,83,240,373,394,98,226,521,875
ENSG00000162148,3,14,36,14,3,10,35,12
ENSG00000162174,25,87,245,340,38,50,235,486
ENSG00000162188,8,25,29,35,9,22,31,15
ENSG00000162191,275,1204,5799,7918,375,953,8207,7425
ENSG00000162194,10,34,115,138,12,22,142,194
ENSG00000162222,148,578,701,635,201,411,866,554
ENSG00000162227,51,177,195,270,61,121,305,241
ENSG00000162231,442,1156,4652,6606,414,1230,5850,5453
ENSG00000162236,301,1019,1357,1181,351,829,2111,1077
ENSG00000162241,48,99,770,834,35,89,1118,795
ENSG00000162244,1406,4556,22774,19820,1754,3614,33728,17093
ENSG00000162267,0,0,14,13,0,0,25,2
ENSG00000162298,168,335,2080,2963,122,437,3196,2945
ENSG00000162300,18,90,292,270,39,53,406,1171
ENSG00000162302,466,1479,847,725,609,1212,1217,591
ENSG00000162337,381,1601,3142,2863,656,1164,4182,2448
ENSG00000162341,32,122,144,234,48,68,200,152
ENSG00000162344,1,12,0,1,3,3,0,0
ENSG00000162365,0,0,1,2,0,0,1,0
ENSG00000162366,0,0,88,70,0,0,118,51
ENSG00000162367,0,0,0,0,0,0,0,1
ENSG00000162368,1723,3778,11182,11878,1364,5201,12963,10969
ENSG00000162373,72,33,0,20,8,247,0,26
ENSG00000162374,4,18,0,0,7,7,0,0
ENSG00000162377,83,630,2510,1971,268,323,2662,1533
ENSG00000162378,504,1552,1693,2313,534,1577,1949,2091
ENSG00000162383,14,18,0,11,6,13,1,19
ENSG00000162384,175,659,1303,1187,253,471,1524,1094
ENSG00000162385,224,899,2632,2171,326,682,3338,2082
ENSG00000162390,1,2,243,310,0,0,282,300
ENSG00000162391,0,1,7,13,0,0,18,13
ENSG00000162396,29,158,371,538,53,77,593,456
ENSG00000162398,0,3,11,2,2,4,6,0
ENSG00000162399,0,1,0,0,0,0,1,2
ENSG00000162402,605,2081,4927,6502,798,2084,5515,5427
ENSG00000162407,79,401,311,393,178,279,519,323
ENSG00000162408,750,2526,2088,2016,945,2278,2501,1484
ENSG00000162409,557,856,676,811,325,1597,694,676
ENSG00000162413,439,516,845,897,218,1024,1231,914
ENSG00000162415,165,138,137,196,48,393,183,220
ENSG00000162419,89,240,785,1051,93,213,884,886
ENSG00000162426,7,8,8,13,5,22,12,11
ENSG00000162430,359,1073,2260,2713,363,854,3360,2555
ENSG00000162433,2056,1945,4608,9949,664,5498,4302,8734
ENSG00000162434,1291,3289,353,442,1279,3824,411,391
ENSG00000162437,174,544,1040,611,204,485,1068,568
ENSG00000162438,0,0,0,0,1,0,0,0
ENSG00000162441,413,1118,1453,1304,415,1175,1553,1485
ENSG00000162444,36,117,32,8,43,117,55,8
ENSG00000162456,0,1,0,0,0,0,0,0
ENSG00000162458,318,1095,66,87,431,862,65,81
ENSG00000162460,0,0,0,0,0,0,0,0
ENSG00000162461,2,5,29,8,1,4,37,13
ENSG00000162482,3,3,5,11,1,4,10,8
ENSG00000162490,45,75,4,25,22,113,8,39
ENSG00000162493,8,18,1,0,5,9,0,0
ENSG00000162494,2,0,0,0,1,1,0,0
ENSG00000162496,472,2211,213,544,884,1157,310,490
ENSG00000162510,5,6,10,16,2,8,7,10
ENSG00000162511,43,126,3,10,52,97,2,13
ENSG00000162512,305,1076,3822,6391,371,922,5584,6264
ENSG00000162517,302,1222,1401,1243,489,760,1891,986
ENSG00000162520,85,177,9,7,92,260,13,21
ENSG00000162521,410,1276,7112,8881,435,1287,6435,10315
ENSG00000162522,662,1233,8031,16111,441,2017,11007,15214
ENSG00000162526,1,16,40,41,3,4,74,36
ENSG00000162542,87,335,1518,1482,138,264,1712,1253
ENSG00000162543,0,0,0,0,0,2,2,0
ENSG00000162545,152,179,1532,3996,75,483,1942,6159
ENSG00000162551,24,35,0,3,20,44,4,1
ENSG00000162552,5,7,33,40,2,10,57,35
ENSG00000162571,0,1,7,7,0,0,23,14
ENSG00000162572,20,61,222,247,19,38,289,201
ENSG00000162576,68,172,1002,1333,86,177,1423,388
ENSG00000162585,192,650,1617,1705,288,349,2639,972
ENSG00000162591,38,110,140,283,47,84,150,351
ENSG00000162592,2,1,2,3,0,0,6,0
ENSG00000162594,0,1,5,0,0,0,0,0
ENSG00000162595,0,2,1,3,0,0,4,0
ENSG00000162598,0,0,1,0,0,0,0,0
ENSG00000162599,96,557,3980,3474,168,285,4663,3146
ENSG00000162600,155,692,6965,3860,222,521,6985,3284
ENSG00000162601,450,1225,3874,5238,476,1346,3690,4600
ENSG00000162604,213,558,1383,1395,212,585,1958,1316
ENSG00000162607,996,2216,3534,3618,766,3131,3513,3145
ENSG00000162613,365,1311,17261,15249,434,1186,17907,12245
ENSG00000162614,67,219,18,22,77,310,30,20
ENSG00000162616,293,1090,2041,1636,341,824,2096,1318
ENSG00000162618,0,0,12,1,0,0,8,1
ENSG00000162620,26,105,194,87,34,73,166,73
ENSG00000162621,0,0,0,0,0,0,0,0
ENSG00000162623,254,815,4128,3380,326,710,4256,2733
ENSG00000162624,0,1,1,0,0,0,0,0
ENSG00000162627,674,1450,778,651,543,2194,907,575
ENSG00000162630,4,4,0,1,2,3,1,0
ENSG00000162631,150,322,304,131,112,418,443,124
ENSG00000162636,331,897,526,605,338,991,544,462
ENSG00000162639,7,19,299,386,3,19,322,307
ENSG00000162641,3,2,0,1,3,10,1,1
ENSG00000162642,45,161,996,1233,61,148,1235,1099
ENSG00000162643,3,23,46,14,14,3,42,10
ENSG00000162645,105,414,656,785,144,277,734,693
ENSG00000162650,50,234,352,443,99,137,489,454
ENSG00000162654,13,91,39,13,30,31,40,14
ENSG00000162664,390,1446,3383,4054,451,1206,3887,3716
ENSG00000162669,4,8,43,36,0,1,46,37
ENSG00000162670,0,1,20,20,0,1,23,12
ENSG00000162676,6,39,6,7,9,22,14,9
ENSG00000162685,0,0,0,0,0,0,0,0
ENSG00000162687,1,4,1,0,3,2,1,0
ENSG00000162688,170,423,1485,1838,156,528,1377,1387
ENSG00000162692,1,3,2,4,2,1,2,0
ENSG00000162694,166,511,1323,1427,187,464,1294,1160
ENSG00000162695,576,1497,1807,1861,573,1559,1912,1585
ENSG00000162699,0,0,0,0,0,0,0,0
ENSG00000162702,760,2361,1540,1775,907,2302,1517,1424
ENSG00000162704,662,1658,5190,7666,634,1979,5936,7078
ENSG00000162706,20,84,0,0,19,86,0,0
ENSG00000162711,1,9,0,0,5,9,2,2
ENSG00000162714,340,1305,438,598,515,1034,644,533
ENSG00000162722,380,915,5,0,385,1157,1,0
ENSG00000162723,451,33,13,5,12,1025,19,1
ENSG00000162727,0,0,0,0,0,0,0,0
ENSG00000162728,0,2,19,11,0,3,20,17
ENSG00000162729,140,453,1128,1645,162,382,2062,1426
ENSG00000162733,12,16,163,261,8,39,171,216
ENSG00000162734,2982,9188,8479,10511,3408,8213,10931,9148
ENSG00000162735,646,1875,2578,2806,772,1493,3767,2586
ENSG00000162736,1095,3171,3980,4349,1098,2512,5318,4044
ENSG00000162738,234,900,163,345,320,824,235,350
ENSG00000162739,0,0,0,0,0,0,0,0
ENSG00000162745,9,63,4,1,13,16,0,1
ENSG00000162746,46,138,53,41,51,102,57,21
ENSG00000162747,0,1,5,2,0,0,6,3
ENSG00000162753,0,1,0,0,0,1,2,3
ENSG00000162755,4,18,220,189,8,7,381,163
ENSG00000162757,2,7,9,10,5,4,17,24
ENSG00000162761,0,6,5,4,2,2,2,19
ENSG00000162763,0,0,1,0,0,0,1,0
ENSG00000162769,212,611,1955,1749,184,518,2332,1727
ENSG00000162771,0,0,0,0,0,0,0,7
ENSG00000162772,18,105,3584,2907,38,63,4255,2537
ENSG00000162775,156,563,527,729,181,508,587,553
ENSG00000162777,90,394,4,12,144,260,2,9
ENSG00000162779,2,2,30,22,1,4,29,13
ENSG00000162782,0,0,1,0,0,0,1,0
ENSG00000162783,20,82,307,402,33,76,370,344
ENSG00000162804,4,48,329,465,11,15,386,456
ENSG00000162813,207,770,1861,2839,289,715,2402,2452
ENSG00000162814,33,78,113,90,29,50,112,94
ENSG00000162817,48,197,1295,1002,70,114,1864,955
ENSG00000162819,747,1800,4186,3076,653,2072,3702,3755
ENSG00000162825,77,182,131,188,72,220,193,224
ENSG00000162836,414,1866,1032,1201,662,1197,1246,1127
ENSG00000162840,57,255,51,38,93,107,65,19
ENSG00000162843,0,1,1,1,0,0,1,0
ENSG00000162849,4,8,10,33,8,16,19,21
ENSG00000162851,102,338,1125,780,153,303,1344,562
ENSG00000162852,133,346,2294,2454,119,361,2723,2009
ENSG00000162869,68,210,676,1094,80,236,706,953
ENSG00000162873,0,0,2,14,2,1,7,13
ENSG00000162877,0,2,4,1,1,0,6,2
ENSG00000162878,32,209,67,96,67,63,127,79
ENSG00000162881,1,5,0,0,0,0,0,0
ENSG00000162882,0,3,3,0,0,1,2,0
ENSG00000162885,22,117,845,1221,47,82,1424,1841
ENSG00000162888,12,45,6,0,25,34,4,0
ENSG00000162889,694,2257,2250,3675,832,2395,2587,3174
ENSG00000162891,0,0,3,0,0,0,2,2
ENSG00000162892,4,11,1,0,5,11,2,0
ENSG00000162894,9,39,43,20,23,13,75,32
ENSG00000162896,0,0,18,15,0,0,15,1
ENSG00000162897,0,0,18,7,0,1,8,6
ENSG00000162909,4328,10214,3581,6319,4177,12231,3729,5309
ENSG00000162910,102,359,457,615,152,241,654,769
ENSG00000162913,10,18,75,158,4,25,106,162
ENSG00000162923,661,1372,5747,9236,503,1916,5751,8284
ENSG00000162924,99,444,378,506,164,304,388,443
ENSG00000162927,40,179,558,486,51,140,584,467
ENSG00000162928,296,809,1467,1733,312,967,1598,1549
ENSG00000162929,17,75,240,279,37,66,317,256
ENSG00000162931,12,98,71,67,34,59,79,0
ENSG00000162944,8,30,85,46,17,21,71,7
ENSG00000162946,34,114,14,43,46,94,21,30
